preference_key,movie_title,star_cast,rating,year,place,vote,link
3,Hasta el último hombre,"Mel Gibson (dir.), Andrew Garfield, Sam Worthington",8.068616060449934,2016,195,,/title/tt2119532/
4,Klaus,"Sergio Pablos (dir.), Jason Schwartzman, J.K. Simmons",8.06842740815241,2019,196,,/title/tt4729430/
1,Relatos salvajes,"Damián Szifron (dir.), Darío Grandinetti, María Marull",8.066829686617162,2014,197,,/title/tt3011894/
2,El séptimo sello,"Ingmar Bergman (dir.), Max von Sydow, Gunnar Björnstrand",8.065744040353572,1957,198,,/title/tt0050976/
3,Room,"Lenny Abrahamson (dir.), Brie Larson, Jacob Tremblay",8.064195629549639,2015,199,,/title/tt3170832/
4,Mad Max: Furia en el camino,"George Miller (dir.), Tom Hardy, Charlize Theron",8.063231054128968,2015,200,,/title/tt1392190/
1,Mary and Max,"Adam Elliot (dir.), Toni Collette, Philip Seymour Hoffman",8.061855075888609,2009,201,,/title/tt0978762/
2,Cómo entrenar a tu dragón,"Dean DeBlois (dir.), Jay Baruchel, Gerard Butler",8.061526092339612,2010,202,,/title/tt0892769/
3,Identidad peligrosa,"Joel Coen (dir.), Jeff Bridges, John Goodman",8.060753739739033,1998,203,,/title/tt0118715/
4,"Monsters, Inc","Pete Docter (dir.), Billy Crystal, John Goodman",8.05963340813,2001,204,,/title/tt0198781/
1,Tiburón,"Steven Spielberg (dir.), Roy Scheider, Robert Shaw",8.059542308538552,1975,205,,/title/tt0073195/
2,Cuentos de Tokio,"Yasujirô Ozu (dir.), Chishû Ryû, Chieko Higashiyama",8.057250959449346,1953,206,,/title/tt0046438/
3,La pasión de Juana de Arco,"Carl Theodor Dreyer (dir.), Maria Falconetti, Eugene Silvain",8.056886806083075,1928,207,,/title/tt0019254/
4,La sociedad de los poetas muertos,"Peter Weir (dir.), Robin Williams, Robert Sean Leonard",8.055245311973044,1989,208,,/title/tt0097165/
1,Hotel Ruanda,"Terry George (dir.), Don Cheadle, Sophie Okonedo",8.051897124021385,2004,209,,/title/tt0395169/
2,Contra lo imposible,"James Mangold (dir.), Matt Damon, Christian Bale",8.047250678577312,2019,210,,/title/tt1950186/
3,Rocky,"John G. Avildsen (dir.), Sylvester Stallone, Talia Shire",8.046372403403948,1976,211,,/title/tt0075148/
4,Pelotón,"Oliver Stone (dir.), Charlie Sheen, Tom Berenger",8.046068205318717,1986,212,,/title/tt0091763/
1,La canción del camino,"Satyajit Ray (dir.), Kanu Bannerjee, Karuna Bannerjee",8.041179457896886,1955,213,,/title/tt0048473/
2,Todo En Todas Partes Al Mismo Tiempo,"Dan Kwan (dir.), Michelle Yeoh, Stephanie Hsu",8.041114402680492,2022,214,,/title/tt6710474/
3,Cuenta conmigo,"Rob Reiner (dir.), Wil Wheaton, River Phoenix",8.040472844129424,1986,215,,/title/tt0092005/
4,Terminator,"James Cameron (dir.), Arnold Schwarzenegger, Linda Hamilton",8.040156323378834,1984,216,,/title/tt0088247/
1,En primera plana,"Tom McCarthy (dir.), Mark Ruffalo, Michael Keaton",8.039961373962784,2015,217,,/title/tt1895587/
2,Rush: Pasión y gloria,"Ron Howard (dir.), Daniel Brühl, Chris Hemsworth",8.037782853211732,2013,218,,/title/tt1979320/
3,Logan: Wolverine,"James Mangold (dir.), Hugh Jackman, Patrick Stewart",8.037660563624849,2017,219,,/title/tt3315342/
4,Ratatouille,"Brad Bird (dir.), Brad Garrett, Lou Romano",8.036949300771669,2007,220,,/title/tt0382932/
1,Poder que mata,"Sidney Lumet (dir.), Faye Dunaway, William Holden",8.036456106131624,1976,221,,/title/tt0074958/
2,Camino salvaje,"Sean Penn (dir.), Emile Hirsch, Vince Vaughn",8.034972447143193,2007,222,,/title/tt0758758/
3,El mago de Oz,"Victor Fleming (dir.), Judy Garland, Frank Morgan",8.032635958374039,1939,223,,/title/tt0032138/
4,Antes del atardecer,"Richard Linklater (dir.), Ethan Hawke, Julie Delpy",8.03062699564857,2004,224,,/title/tt0381681/
1,Hechizo del tiempo,"Harold Ramis (dir.), Bill Murray, Andie MacDowell",8.029510513930289,1993,225,,/title/tt0107048/
2,El exorcista,"William Friedkin (dir.), Ellen Burstyn, Max von Sydow",8.027056942171164,1973,226,,/title/tt0070047/
3,Los mejores años de nuestras vidas,"William Wyler (dir.), Myrna Loy, Dana Andrews",8.025549262445017,1946,227,,/title/tt0036868/
4,Ser o no ser,"Ernst Lubitsch (dir.), Carole Lombard, Jack Benny",8.025416009521525,1942,228,,/title/tt0035446/
1,Jai Bhim,"T.J. Gnanavel (dir.), Suriya, Lijo Mol Jose",8.025194139986732,2021,229,,/title/tt15097216/
2,Los increíbles,"Brad Bird (dir.), Craig T. Nelson, Samuel L. Jackson",8.025093696630032,2004,230,,/title/tt0317705/
3,La batalla de Argel,"Gillo Pontecorvo (dir.), Brahim Hadjadj, Jean Martin",8.02427702517532,1966,231,,/title/tt0058946/
4,Siempre a tu lado,"Lasse Hallström (dir.), Richard Gere, Joan Allen",8.02219492310729,2009,232,,/title/tt1028532/
1,Las viñas de la ira,"John Ford (dir.), Henry Fonda, Jane Darwell",8.021589181416088,1940,233,,/title/tt0032551/
2,"Rebeca, una mujer inolvidable","Alfred Hitchcock (dir.), Laurence Olivier, Joan Fontaine",8.021345555620783,1940,234,,/title/tt0032976/
3,Amores perros,"Alejandro G. Iñárritu (dir.), Emilio Echevarría, Gael García Bernal",8.021204381751277,2000,235,,/title/tt0245712/
4,Babam ve Oglum,"Cagan Irmak (dir.), Çetin Tekindor, Fikret Kuskan",8.021104625652084,2005,236,,/title/tt0476735/
1,Piratas del Caribe - La maldición del Perla Negra,"Gore Verbinski (dir.), Johnny Depp, Geoffrey Rush",8.020921742762138,2003,237,,/title/tt0325980/
2,La haine,"Mathieu Kassovitz (dir.), Vincent Cassel, Hubert Koundé",8.020376812260531,1995,238,,/title/tt0113247/
3,La leyenda del indomable,"Stuart Rosenberg (dir.), Paul Newman, George Kennedy",8.020025953726297,1967,239,,/title/tt0061512/
4,Los 400 golpes,"François Truffaut (dir.), Jean-Pierre Léaud, Albert Rémy",8.016349917274443,1959,240,,/title/tt0053198/
1,Persona,"Ingmar Bergman (dir.), Bibi Andersson, Liv Ullmann",8.01526604586666,1966,241,,/title/tt0060827/
2,Sucedió una noche,"Frank Capra (dir.), Clark Gable, Claudette Colbert",8.013472481158928,1934,242,,/title/tt0025316/
3,The Handmaiden,"Park Chan-wook (dir.), Kim Min-hee, Ha Jung-woo",8.01336824042147,2016,243,,/title/tt4016934/
4,La vida de Brian,"Terry Jones (dir.), Graham Chapman, John Cleese",8.012647665305995,1979,244,,/title/tt0079470/
1,La novicia rebelde,"Robert Wise (dir.), Julie Andrews, Christopher Plummer",8.01259174293644,1965,245,,/title/tt0059742/
2,Dersu Uzala,"Akira Kurosawa (dir.), Maksim Munzuk, Yuriy Solomin",8.009105083179769,1975,246,,/title/tt0071411/
3,Gandhi,"Richard Attenborough (dir.), Ben Kingsley, John Gielgud",8.005153498966335,1982,247,,/title/tt0083987/
4,Historias cruzadas,"Tate Taylor (dir.), Viola Davis, Emma Stone",8.005132685029084,2011,248,,/title/tt1454029/
1,Aladdín,"Ron Clements (dir.), Scott Weinger, Robin Williams",8.004851392848584,1992,249,,/title/tt0103639/
2,El gigante de hierro,"Brad Bird (dir.), Eli Marienthal, Harry Connick Jr.",8.00366600484048,1999,250,,/title/tt0129167/
